latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-36.04293,136.70728,367,0.61,0.71,2020-01-05,0342,N,high,1.0NRT,302.3,14.2,D
-36.03625,136.92694,338.8,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,290.2,8.8,D
-36.04266,136.71631,335.6,0.61,0.71,2020-01-05,0342,N,nominal,1.0NRT,299.5,21.1,D
-36.02954,136.92767,367,0.6,0.7,2020-01-05,0342,N,high,1.0NRT,302.4,8.8,D
-36.03619,136.70653,367,0.61,0.71,2020-01-05,0342,N,high,1.0NRT,302.8,14.2,D
-36.02263,136.93475,367,0.6,0.7,2020-01-05,0342,N,high,1.0NRT,301.8,65.5,D
-36.022,136.9554,341.4,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,293.5,90.2,D
-36.02285,136.92783,356.5,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,305.5,65.5,D
-36.02307,136.92065,340.3,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,295.8,19,D
-36.02328,136.91354,330.7,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,290.9,19,D
-36.02221,136.94855,355.9,0.6,0.7,2020-01-05,0342,N,low,1.0NRT,337.6,91.9,D
-36.02242,136.94162,208,0.6,0.7,2020-01-05,0342,N,low,1.0NRT,303.5,91.9,D
-36.01531,136.95563,367,0.6,0.7,2020-01-05,0342,N,high,1.0NRT,299.8,90.2,D
-36.01616,136.92767,367,0.6,0.7,2020-01-05,0342,N,high,1.0NRT,293.9,65.5,D
-36.01552,136.94865,356.9,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,298.1,91.9,D
-36.01574,136.94173,349,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,292.9,91.9,D
-36.01638,136.92041,356.2,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,291.2,19,D
-36.0166,136.91316,331,0.6,0.7,2020-01-05,0342,N,nominal,1.0NRT,290.4,19,D
-35.97996,137.02257,352.6,0.59,0.7,2020-01-05,0342,N,nominal,1.0NRT,288.7,8.7,D
-35.9303,136.60913,351.4,0.62,0.72,2020-01-05,0342,N,nominal,1.0NRT,295.8,6.6,D
-35.9235,136.60934,367,0.62,0.72,2020-01-05,0342,N,high,1.0NRT,299,113.8,D
-35.92366,136.6022,350,0.62,0.72,2020-01-05,0342,N,nominal,1.0NRT,307.3,94.1,D
-35.91671,136.60941,367,0.62,0.72,2020-01-05,0342,N,high,1.0NRT,304.6,113.8,D
-35.91687,136.60217,367,0.62,0.72,2020-01-05,0342,N,high,1.0NRT,325.2,94.1,D
-35.91704,136.59476,350.2,0.62,0.72,2020-01-05,0342,N,nominal,1.0NRT,292,94.1,D
-35.91008,136.60184,367,0.62,0.72,2020-01-05,0342,N,high,1.0NRT,298.2,51.3,D
-35.90992,136.60925,341.7,0.62,0.72,2020-01-05,0342,N,nominal,1.0NRT,292,41.7,D
-35.91024,136.59441,348.8,0.62,0.72,2020-01-05,0342,N,nominal,1.0NRT,290.6,51.3,D
-35.92873,136.60933,367,0.62,0.71,2020-01-05,0342,N,high,1.0NRT,300.1,46.2,D
-35.92893,136.60214,354,0.62,0.72,2020-01-05,0342,N,nominal,1.0NRT,292.7,46.2,D
-35.92193,136.60962,367,0.62,0.71,2020-01-05,0342,N,high,1.0NRT,297.6,46.2,D
-35.92213,136.60252,353.3,0.62,0.72,2020-01-05,0342,N,nominal,1.0NRT,310.2,46.2,D
-35.92233,136.59517,355,0.62,0.72,2020-01-05,0342,N,nominal,1.0NRT,292.4,36.3,D
-35.91513,136.60965,367,0.62,0.71,2020-01-05,0342,N,high,1.0NRT,303.1,108.2,D
-35.91534,136.60236,367,0.62,0.72,2020-01-05,0342,N,high,1.0NRT,329.2,108.2,D
-35.90855,136.60214,351.6,0.62,0.72,2020-01-05,0342,N,nominal,1.0NRT,291.7,108.2,D
-34.38419,150.4026,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,301.6,25,D
-34.3805,150.37982,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,301.1,30.6,D
-34.38111,150.37549,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,303.3,30.6,D
-34.34842,150.30806,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,302.4,53.3,D
-34.3322,150.30029,367,0.39,0.36,2020-01-05,0342,N,low,1.0NRT,292.9,15.7,D
-34.32643,150.31654,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,298.7,25.6,D
-34.32823,150.30388,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,334.3,158.3,D
-34.32247,150.32002,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,302.4,34.6,D
-34.32306,150.31586,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,301.9,25.6,D
-34.32365,150.31169,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,301.7,25.6,D
-34.32486,150.30321,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,333,158.3,D
-34.32426,150.30745,367,0.39,0.36,2020-01-05,0342,N,low,1.0NRT,338,158.3,D
-34.36069,149.99901,367,0.4,0.37,2020-01-05,0342,N,high,1.0NRT,301.7,49.9,D
-34.35731,149.99829,367,0.4,0.37,2020-01-05,0342,N,high,1.0NRT,303.7,21.7,D
-34.3579,149.99408,367,0.4,0.37,2020-01-05,0342,N,high,1.0NRT,304.9,47.7,D
-34.33388,150.09135,367,0.4,0.37,2020-01-05,0342,N,high,1.0NRT,307.8,22.3,D
-34.31224,149.9716,367,0.4,0.37,2020-01-05,0342,N,high,1.0NRT,333.7,151.3,D
-34.31007,149.9621,367,0.4,0.37,2020-01-05,0342,N,high,1.0NRT,300.9,43.1,D
-34.26238,150.25464,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,305.7,15.1,D
-33.87587,150.47322,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,304,27.2,D
-33.87039,150.36737,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,302.9,32.5,D
-33.84814,150.45006,331.5,0.39,0.36,2020-01-05,0342,N,nominal,1.0NRT,298.4,15.4,D
-33.8454,150.44514,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,306.5,15.4,D
-33.84479,150.44936,343.5,0.39,0.36,2020-01-05,0342,N,nominal,1.0NRT,298.2,15.4,D
-33.846,150.44095,353.5,0.39,0.36,2020-01-05,0342,N,nominal,1.0NRT,299.6,11.4,D
-33.85056,150.38513,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,301.9,40,D
